Designator,Footprint,Quantity,Value,LCSC Part #
B1,BK-912-TR_MPD,1,~,
"C1, C2",0603,2,1uF,
R1,0402,1,69k,
R2,0402,1,10k,
R3,0402,1,20k,
SW1,SW_JS202011SCQN,1,SW_DIP_x01,
"U10A1, U10B1, U11, U12, U13, U14, U15, U16, U1A1, U1B1, U2A1, U2B1, U3A1, U3B1, U4A1, U4B1, U5A1, U5B1, U6A1, U6B1, U7A1, U7B1, U8A1, U8B1, U9A1, U9B1",DF9-16,26,~,
U17,SOT-23-5,1,MIC5504-3.3YM5-TR,
U18,XIAO-nRF52840-Sense-14P-2.54-21X17.8MM,1,Seeed Studio XIAO nRF52840,
U19,ADG706,1,ADG706BRUZ-REEL7,
U20,SOT-23-5,1,MCP6001-OT,
