Designator,Mid X,Mid Y,Rotation,Layer
B1,407.095,-160.109001,0.0,bottom
C1,430.455,-162.2,0.0,bottom
C2,427.28,-169.4,180.0,bottom
R1,406.88,-170.3975,90.0,bottom
R2,427.0825,-164.6,0.0,bottom
R3,427.08,-162.0,0.0,bottom
SW1,427.48,-155.2,0.0,bottom
U10A1,296.678525,-222.25,270.0,top
U10B1,303.028525,-208.28,270.0,top
U11,305.568525,-177.8,270.0,top
U12,291.598525,-237.49,270.0,top
U13,219.71,-121.151475,0.0,top
U14,247.65,-121.151475,0.0,top
U15,254.0,-315.461475,0.0,top
U16,279.4,-315.461475,0.0,top
U17,423.3975,-168.59,180.0,bottom
U18,421.48,-181.2,90.0,bottom
U19,397.88,-178.6,180.0,bottom
U1A1,226.06,-78.238525,180.0,top
U1B1,243.84,-78.238525,180.0,top
U20,423.28,-163.6,180.0,bottom
U2A1,261.62,-78.238525,180.0,top
U2B1,279.4,-78.238525,180.0,top
U3A1,297.18,-101.56,0.0,top
U3B1,297.18,-121.151475,0.0,top
U4A1,312.42,-121.151475,0.0,top
U4B1,262.89,-121.151475,0.0,top
U5A1,279.4,-121.151475,0.0,top
U5B1,233.68,-121.151475,0.0,top
U6A1,279.4,-270.008525,180.0,top
U6B1,266.7,-290.061475,0.0,top
U7A1,305.568525,-147.32,270.0,top
U7B1,309.378525,-161.29,270.0,top
U8A1,238.76,-173.221475,0.0,top
U8B1,250.19,-168.141475,0.0,top
U9A1,238.76,-197.618525,180.0,top
U9B1,250.19,-224.021475,0.0,top
